,Sel_Ft,Ft_Imp
0,Normalizedfrequencyofbeta-sheetinall-betaclass-Palauetal--Int-J-PeptideProteinRes-1981-19-394-401,0.06081336915979414
1,Normalizedfrequencyofcoil-Nagano-J-Mol-Biol-1973-75-401-420,0.028801265735429536
2,Normalizedfrequencyofbeta-sheet-Crawfordetal-Proc-Natl-Acad-Sci-USA1973-70-538-542,0.07089482933533205
3,Averagevolumeofburiedresidue-Chothia-Nature1975-254-304-308,0.01623690966882656
4,Meanareaburiedontransfer-Roseetal--Science1985-229-834-838,0.010441154816588648
5,Aggregation-Tartaglia-J-Mol-Biol-2010-402-919,0.02633637902535635
6,Averagedturnpropensitiesinatransmembranehelix-Monneetal--J-Mol-Biol-1999-293-807-814,0.03679293206073373
7,fg,0.011556607690289256
8,Informationmeasureforpleated-sheet-Robson-Suzuki-J-Mol-Biol-1976-107-327-356,0.023371331598104318
9,NucleicAcidBinding-classicalRBD-Castelloetal--Cell2011-149-1393-1406,0.05380703199471235
10,Knowledge-basedmembrane-propensityscalefrom3D_HelixinMPtopodatabases-Punta-Maritan-Proteins2003-50-114-121,0.019297077309206843
11,Energytransferfromouttoin-95_buried--Radzicka-Wolfenden-Biochemistry1988-27-1664-1670,0.05035026565387155
12,TOP-IDB-DunkerAK-ProteinPeptLett-2008-15-9--956,0.015246949049148384
13,Hydrophobicity-Fauchereetal--Eur-J-Med-Chem-1983-18-369-375,0.014575535044279242
14,Aggregation-Tartaglia-ProteinScience2005-14-2735-2740,0.01705271080613586
15,Normalizedrelativefrequencyofcoil-Isogaietal--Biopolymers1980-19-1183-1210,0.008284463132660047
16,Averageflexibilityindices-Bhaskaran-Ponnuswamy-Int-J-PeptideProteinRes-1988-32-241-255,0.02069133112573236
17,Normalizedfrequencyofalpha-helix-unweightedLevitt-Biochemistry1978-17-4277-4285,0.08431189982466872
18,Propensitytobeburiedinside-Wertz-Scheraga-Macromolecules1978-11-9-15,0.02380621826020237
19,DisProt-DunkerAK-ProteinPeptLett-2008-15-9--956,0.005493206147182872
20,Averagerelativeprobabilityofhelix-Kanehisa-Tsong-Biopolymers1980-19-1617-1628,0.09694462988734295
21,NucleicAcidBinding-mRNAinteractome-Castelloetal--Cell2011-149-1393-1406,0.052616996016944806
22,Hydrophobicity-Bull_Breese-Arch-Biochem-Biophys-1974-161-665-670,0.025082296052483466
23,Transmembraneregionsofmt-proteins-Nakashimaetal--Proteins1990-8-173-178,0.019927712328428316
24,Proportionofresidues100_buried-Chothia-J-Mol-Biol-1976-105-1-14,0.018652031254785893
